clueText,clueType,clueDifficulty,answer,answerDefinition,answerTransformation
"Welsh hero loses his head after prankster’s skewer",Charades,4,IMPALE,skewer,"Welsh hero = BALE; loses his head removes the first letter -> ALE; prankster = IMP; ALE placed after IMP gives IMPALE"
"Friend with Arab money is content",Charades,3,MATERIAL,content,"Friend = MATE; Arab money = RIAL; combine MATE + RIAL for MATERIAL"
"Similar arrangement of a calmer bop",Anagram,1,COMPARABLE,similar,"'arrangement' is the anagram indicator; anagram of the letters in 'a calmer bop' gives COMPARABLE"
"Boy drinks up Malbec as a path to success",Charades,5,LADDER,a path to success,"Boy = LAD; Malbec = RED (a red wine); 'drinks up' signals the next part is reversed, so RED becomes DER; LAD + DER gives LADDER"
"The highest price went from 100 to 1000",Substitution,4,MOST,the highest,"price = COST; in Roman numerals 100 = C and 1000 = M; 'went from 100 to 1000' means swap the C for an M, turning COST into MOST"
"Everyone’s drink?",Wordplay,2,"WORLD CUP",everyone's drink (whole clue; cryptic definition),"Everyone = WORLD; drink = CUP; joined as WORLD CUP, which is itself a drink everyone might share - an &lit-style pun"
"A standard home with somewhere to hang the laundry",Charades,4,BASELINE,a standard,"home = BASE; somewhere to hang the laundry = LINE; 'with' signals combining them into BASELINE"
"Footballer in top eleven",Hidden,1,PELE,footballer,"'in' signals a hidden word; the answer is concealed inside toP ELEven -> PELE"
"Film about Harry’s friend becoming queen",Container,3,CORONATING,becoming queen,"Harry's friend = RON; film = COATING; 'about' signals RON is placed inside COATING, giving CO-RON-ATING"
"To be and not to be?",Wordplay,5,SUPERPOSITION,"a state of being two things at once (cryptic/&lit definition)","a pun on Hamlet's 'to be or not to be'; being and not-being simultaneously describes SUPERPOSITION, a term from quantum physics"
